"""CDID"",""ECYR"""
1997 JAN,95.3
1997 FEB,95.1
1997 MAR,93.8
1997 APR,92.6
1997 MAY,91.4
1997 JUN,91.6
1997 JUL,92
1997 AUG,92.9
1997 SEP,93.9
1997 OCT,94.2
1997 NOV,94.4
1997 DEC,93.1
1998 JAN,91.2
1998 FEB,92.8
1998 MAR,94.1
1998 APR,93.9
1998 MAY,94.7
1998 JUN,94.6
1998 JUL,94.4
1998 AUG,94.7
1998 SEP,95.3
1998 OCT,96.2
1998 NOV,95.5
1998 DEC,94.3
1999 JAN,91.5
1999 FEB,97.6
1999 MAR,99.7
1999 APR,96
1999 MAY,95.6
1999 JUN,95.8
1999 JUL,95.4
1999 AUG,95.9
1999 SEP,96
1999 OCT,96.7
1999 NOV,96.3
1999 DEC,95.8
2000 JAN,92
2000 FEB,94.2
2000 MAR,96.4
2000 APR,96.3
2000 MAY,97.1
2000 JUN,97.2
2000 JUL,96.8
2000 AUG,99.1
2000 SEP,99.3
2000 OCT,100.9
2000 NOV,99.4
2000 DEC,98.5
2001 JAN,97.3
2001 FEB,99.7
2001 MAR,98.3
2001 APR,101.1
2001 MAY,97.7
2001 JUN,96.4
2001 JUL,96.9
2001 AUG,97.7
2001 SEP,98.4
2001 OCT,96.8
2001 NOV,96.2
2001 DEC,95.9
2002 JAN,91.6
2002 FEB,93.7
2002 MAR,94.7
2002 APR,95.4
2002 MAY,95.2
2002 JUN,94.6
2002 JUL,94.4
2002 AUG,93.6
2002 SEP,95.7
2002 OCT,96.3
2002 NOV,96
2002 DEC,95.1
2003 JAN,92
2003 FEB,91.7
2003 MAR,92.1
2003 APR,92.2
2003 MAY,92
2003 JUN,92.6
2003 JUL,92.1
2003 AUG,93.1
2003 SEP,94.4
2003 OCT,93.4
2003 NOV,94
2003 DEC,95.4
2004 JAN,91.2
2004 FEB,92.1
2004 MAR,92.8
2004 APR,93
2004 MAY,94.6
2004 JUN,94.6
2004 JUL,94.4
2004 AUG,94.7
2004 SEP,95.8
2004 OCT,95.6
2004 NOV,94.4
2004 DEC,92
2005 JAN,90.3
2005 FEB,93.1
2005 MAR,93.7
2005 APR,93.5
2005 MAY,91.6
2005 JUN,92
2005 JUL,93.1
2005 AUG,95.6
2005 SEP,93
2005 OCT,94.2
2005 NOV,91.6
2005 DEC,89.9
2006 JAN,87.2
2006 FEB,90.3
2006 MAR,91.5
2006 APR,90.4
2006 MAY,90.2
2006 JUN,90.2
2006 JUL,89.4
2006 AUG,90.2
2006 SEP,90.8
2006 OCT,91.9
2006 NOV,90.3
2006 DEC,86.6
2007 JAN,85.1
2007 FEB,88.8
2007 MAR,90.7
2007 APR,90.3
2007 MAY,89.6
2007 JUN,89.4
2007 JUL,90.1
2007 AUG,89.8
2007 SEP,89.4
2007 OCT,89.1
2007 NOV,89
2007 DEC,89.7
2008 JAN,89.9
2008 FEB,89.4
2008 MAR,89.1
2008 APR,88.3
2008 MAY,87.4
2008 JUN,87.7
2008 JUL,88
2008 AUG,88.1
2008 SEP,85.5
2008 OCT,85.5
2008 NOV,86.1
2008 DEC,86.5
2009 JAN,86.1
2009 FEB,85
2009 MAR,84.5
2009 APR,85.6
2009 MAY,86
2009 JUN,86.3
2009 JUL,87.1
2009 AUG,87.1
2009 SEP,86.9
2009 OCT,86.7
2009 NOV,86.2
2009 DEC,85.7
2010 JAN,84.7
2010 FEB,85.5
2010 MAR,85.8
2010 APR,86.2
2010 MAY,86
2010 JUN,85.6
2010 JUL,84.3
2010 AUG,83.2
2010 SEP,82.9
2010 OCT,84.3
2010 NOV,86
2010 DEC,88.5
2011 JAN,91
2011 FEB,88.4
2011 MAR,87.5
2011 APR,88.4
2011 MAY,87.1
2011 JUN,87
2011 JUL,86.8
2011 AUG,86.4
2011 SEP,86.9
2011 OCT,88.4
2011 NOV,89.3
2011 DEC,90.2
2012 JAN,93
2012 FEB,90.9
2012 MAR,89.1
