CDID,ECY2,ECY3,ECY4,ECY5,ECY6,ECY7,ECY8,ECY9,ECYC,ECYD,ECYG,ECYH,ECYI,ECYJ,ECYK,ECYL,ECYP,ECYQ,ECYR,ECYS,ECYT,ECYU,ECYV,ECYX,ECYY,ECYZ,ECZ2,ECZA,ECZC,ECZD,ECZE,ECZG,ECZK,ECZN,ECZT,ECZU,ED2G,ED2H,ED2I,ED2J,ED2K,ED2L,ED2M,ED2N,ED2O,ED2P,ED2R,ED2S,ED2T,ED2U,ED2V,ED2W,ED2X,ED2Y,ED2Z,ED32,ED33,ED34,ED35,ED36,ED37,ED38,ED39,ED3A,ED3B,ED3C,ED3D,ED3E,ED3F,ED3H,ED3I,ED3J,ED3K,ED3L,ED3M,ED3N,ED3O,ED3P,ED3Q,ED3R,ED3S,ED3T,ED3U,ED3V,ED3W,ED3X,ED3Y,ED3Z,ED42,ED43,ED44,ED9R,ED9T,ED9U,ED9V,ED9W,EDGQ,EDGR,EDGS,EDGT,EDGU,EDGV,EDGW,EDGX,EDGY,EDGZ,EDHA,EDHB,EDHC,EDHD,EDHE,EDHF,EDHG,EDHH,EDHI,EDKH,EDKI,EDKJ,EDKK,EDKL,EDKM,EDKN,EDKO,EDKP,EDKQ,EDKR,EDKS,EDKT,EDKU,EDKV,EDKW,EDKX,EDKY,EDKZ,EDLA,EDLB,EDLC,EDLD,EDLE,EDLF,EDLG,EDLH,EDLI,EDLJ,EDLK,EDLL,EDLM,EDLN,EDLO,EDLP,EDLQ,EDLR,EDLS,EDLT,EDLU,EDLV,EDLW,EDLX,EDLY,EDLZ,EDMA,EDMB,EDMC,EDMD,EDME,EDMF,EDMG,EDMH,EDMI,EDMJ,EDMK,EDML,EDMM,EDMN,EDMO,EDMP,EDMQ,EDMR,EDMS,EDMT,EDMU,EDMV,EDMW,EDMX,EDMY,EDMZ,EDNA,EDNB,EDNC,EDND,EDNE,EDNF,EDNG,EDNH,EDNI,EDNJ,EDNK,EDNL,EDNM,EDNN,EDNO,EDNP,EDNQ,EDNR,EDNS,EDNT,EDNU
1997 JAN,63.8,52.3,83.9,418.3,67.1,75.7,119.9,85.8,59.3,81.7,74.2,78.9,8.5,69.6,64.3,56.4,51.6,76.4,95.3,68.8,70.3,90.8,94.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,-0.04,-0.03,0.05,-0.11,0.03,0,-0.21,1.35,-0.21,-0.1,0.22,0.41,-0.45,0.88,0.09,0.22,-0.02,0.2,0.18,-0.08,0.02,-0.01,5.58,-0.07,0.59,0.16,0.22,0.11,0.05,-0.15,5.2,-0.02,-0.01,0.38,1.13,-0.21,2.15,0.4,0.59,-0.06,0.38,0.43,-0.11,0.09,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 FEB,64.8,52.8,84.4,402.6,67.9,74.8,120.5,86.1,60.4,82.2,75,79.6,9.1,70,66.5,55.8,53.1,76.4,95.1,69.3,69.8,94.1,85.5,1.4,0.8,0.6,-3.8,1.2,-1.2,0.5,0.3,1.7,0.7,1.1,0.9,7.2,0.6,3.5,-1.2,2.8,0,-0.1,0.6,-0.8,3.7,-9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,0.01,0.12,-0.06,0.19,-0.02,0.01,0.01,1.29,0.08,0.05,0.02,0.44,0.04,0.54,-0.07,0.12,0,-0.01,0.04,-0.01,0.06,-0.02,6.42,-0.05,0.58,0.03,0.47,0.03,0.04,-0.14,6.02,-0.04,0.07,0.37,1.61,-0.22,2.65,0.22,0.66,-0.05,0.27,0.43,-0.12,0.13,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 MAR,64.9,53.3,83.7,390.9,67.4,73.3,121.1,86.9,60.6,84.8,74.6,79.7,9,69.1,67,56,53.3,76.4,93.8,69.4,71.4,96.5,81.8,0.2,1,-0.8,-2.9,-0.6,-2,0.5,0.9,0.5,3.2,-0.6,0.1,-0.9,-1.2,0.7,0.4,0.4,0,-1.4,0.1,2.4,2.5,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.01,-0.17,-0.04,-0.1,-0.03,0.01,0.04,0.36,0.37,-0.02,0,-0.06,-0.07,0.11,0.02,0.02,0,-0.07,0.01,0.03,0.04,-0.01,5.89,-0.03,0.35,0.01,0.32,0,0.01,-0.11,5.68,0.2,-0.03,0.34,1.39,-0.27,2.69,0.22,0.53,-0.04,0.15,0.41,-0.1,0.18,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 APR,65.2,54.2,83.8,385.9,67.5,75.8,120.3,87.8,60.9,87.7,75.5,79.7,9.2,68.5,66.3,55.5,53,76.5,92.6,69.7,73.5,94.5,83,0.4,1.7,0.1,-1.3,0,3.3,-0.7,1,0.4,3.4,1.2,0,2.2,-0.9,-0.9,-0.8,-0.6,0.2,-1.2,0.4,3,-2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.01,0.02,-0.02,0.01,0.04,-0.01,0.05,0.3,0.41,0.05,0,0.14,-0.05,-0.15,-0.04,-0.03,0.01,-0.06,0.02,0.03,-0.03,0,6.4,-0.01,0.62,0.04,0.44,0.1,0.03,-0.06,5.87,0.62,0.07,0.32,1.51,-0.37,2.43,0.07,0.59,-0.02,0.1,0.44,-0.04,0.15,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 MAY,64.7,54.8,83.8,377.2,67.4,79.5,119.2,88.3,60.3,82.4,76.9,79.6,9.4,67.3,65.6,55.8,54.1,76.7,91.4,69.8,74.9,93.7,86.4,-0.7,1.1,0.1,-2.3,-0.1,5,-0.9,0.6,-1,-6,1.9,-0.1,2.1,-1.8,-1.1,0.5,2.2,0.2,-1.3,0.1,1.9,-0.8,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.67,0.01,0.01,-0.03,-0.01,0.07,-0.01,0.03,-0.72,-0.75,0.08,0,0.13,-0.1,-0.17,0.03,0.1,0.01,-0.06,0.01,0.02,-0.01,0.01,5.1,0,0.38,-0.11,0.36,0.11,0.05,-0.04,4.77,-0.32,0.14,0.3,1.47,-0.51,2.13,0.15,0.79,-0.01,0.07,0.43,-0.01,0.16,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 JUN,65.2,55.4,84,377.2,67.6,79.3,119.5,88,60.8,85.5,77.1,80.5,9.6,68.2,65.4,56.1,55,77,91.6,69.8,72.6,92.2,89.5,0.7,1.1,0.2,0,0.3,-0.4,0.2,-0.3,0.9,3.8,0.2,1.2,1.7,1.4,-0.4,0.5,1.5,0.4,0.2,0,-3.1,-1.7,3.5,,,,,,,,,,,,,,,,,,,,,,,,0.8,3.8,-0.1,-5.9,0.1,4.8,-0.7,2,1,2.8,2.6,0.7,6,-2.3,-0.2,-0.5,2.6,0.5,-3,0.8,4.5,-0.3,-1.1,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.01,0.05,0,0.05,-0.01,0,-0.02,0.67,0.44,0.01,0.03,0.12,0.07,-0.07,0.03,0.07,0.02,0.01,0,-0.04,-0.03,0.01,5.03,0.01,0.33,-0.05,0.18,0.18,0.01,-0.06,4.77,0.08,0.14,0.32,1.53,-0.49,1.92,0.05,0.67,0.01,0.1,0.42,-0.04,0.09,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 JUL,65.3,56.1,85.5,392.8,68.7,81.1,119.7,87.4,60.7,85.7,78,78.6,9.2,69,65.2,57.1,55.6,77.3,92,69.8,68.6,89.2,83,0.1,1.3,1.7,4.1,1.6,2.4,0.2,-0.7,-0.3,0.3,1.2,-2.4,-4.4,1.1,-0.3,1.7,1.1,0.4,0.4,0,-5.5,-3.2,-7.2,,,,,,,,,,,,,,,,,,,,,,,,0.2,3.8,0.6,-2.7,0.5,7.2,-1,1.1,0,-0.4,3.1,-0.1,2.9,-1.5,-1.8,1,3.4,0.8,-2.3,0.4,0.7,-3.5,3.4,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.01,0.35,0.06,0.25,0.03,0,-0.03,-0.21,0.04,0.05,-0.06,-0.3,0.06,-0.04,0.09,0.05,0.02,0.02,0,-0.06,-0.05,-0.01,5.94,0.02,1.04,0.03,0.76,0.21,0.04,-0.1,4.99,0.43,0.22,0.24,1.2,-0.5,1.79,0.25,0.89,0.03,0.14,0.38,-0.1,0.07,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 AUG,65.4,57,84.6,384.8,67.9,79.9,122.2,87.1,61,85.6,78.6,78.7,9.4,68.8,65.2,57.1,57.7,77.3,92.9,69.9,65.8,90.6,84.6,0.2,1.6,-1,-2,-1.1,-1.6,2.1,-0.3,0.5,-0.1,0.8,0.1,2.3,-0.3,0.1,0.1,3.8,-0.1,1,0.1,-4.1,1.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,0.5,3.9,1.1,0.1,1,5.1,0.2,-0.2,0.4,0.8,3,-0.5,1.6,0.5,-1.6,1.8,4.9,0.9,-0.5,0.3,-5.8,-4.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.01,-0.21,-0.03,-0.18,-0.02,0.03,-0.01,0.37,-0.01,0.03,0,0.15,-0.01,0.02,0,0.18,0,0.04,0.01,-0.04,0.02,0,6.13,0.04,0.8,0.03,0.52,0.19,0.06,-0.12,5.43,0.37,0.28,0.23,1.46,-0.49,1.81,0.28,0.97,0.02,0.21,0.38,-0.13,0.09,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 SEP,65.6,57.8,85.3,383,68.8,80.2,120.4,87.5,61.2,86.4,78.9,79.8,9.8,65.4,65,57.3,57,77,93.9,69.8,65.2,95.9,84.6,0.4,1.4,0.8,-0.5,1.2,0.4,-1.5,0.4,0.3,0.9,0.3,1.4,4.8,-4.9,-0.3,0.4,-1.2,-0.3,1.1,0,-1,5.8,0,,,,,,,,,,,,,,,,,,,,,,,,0.6,4,1.5,1.8,1.4,2.8,1,-0.8,0.4,0.9,2.6,-1.1,0.4,-0.4,-0.9,2.4,5,0.6,1.1,0.1,-9.7,-1.7,-2.6,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.01,0.17,-0.01,0.19,0.01,-0.02,0.02,0.22,0.11,0.01,0.04,0.32,-0.27,-0.05,0.02,-0.06,-0.02,0.05,0,-0.01,0.09,0,6.1,0.05,0.62,-0.04,0.54,0.12,0.01,-0.11,5.53,0.37,0.24,0.26,1.73,-0.81,1.85,0.4,0.88,0.01,0.31,0.37,-0.14,0.13,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 OCT,65.8,59.2,86.3,392.1,69.5,82.4,118,88.6,61.2,86.1,82,81.4,9.8,63.8,64.9,57.6,57,76.9,94.2,69.9,67.3,92.4,83.3,0.3,2.3,1.1,2.4,1.1,2.7,-2,1.3,0,-0.4,4,2,0.1,-2.5,-0.3,0.6,0,-0.2,0.4,0.1,3.3,-3.7,-1.4,,,,,,,,,,,,,,,,,,,,,,,,0.9,4.6,1.1,1.1,1.2,1.1,0.6,-0.2,0.8,1.8,3.3,0.5,3.1,-3.2,-0.5,1.9,4.2,0.1,2.1,0.1,-8.2,1.4,-2.5,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.02,0.22,0.03,0.17,0.04,-0.03,0.06,0,-0.05,0.17,0.05,0.01,-0.13,-0.04,0.03,0,-0.01,0.02,0,0.03,-0.06,0,6.27,0.08,0.83,-0.02,0.64,0.23,0,-0.05,5.43,0.59,0.36,0.31,1.72,-1,1.71,0.28,0.9,0,0.34,0.36,-0.12,0.1,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
