PERIOD,TEMP,HUMID,SOLAR,WIND
1,"43,00","0,0031","2,0","4,88"
2,"41,80","0,0031","2,1","4,86"
3,"41,50","0,0030","2,2","4,61"
4,"41,40","0,0029","2,2","4,88"
5,"41,00","0,0029","2,1","4,34"
6,"40,50","0,0029","2,1","5,40"
7,"39,40","0,0030","2,3","5,38"
8,"38,20","0,0033","2,3","6,01"
9,"38,80","0,0031","8,7","5,06"
10,"39,20","0,0032","51,9","3,22"
11,"40,40","0,0032","122,2","1,45"
12,"43,20","0,0030","211,2","0,57"
13,"45,90","0,0025","228,3","2,10"
14,"47,40","0,0022","229,0","5,02"
15,"47,90","0,0022","221,7","3,20"
16,"48,60","0,0022","238,6","3,15"
17,"48,90","0,0019","107,0","3,41"
18,"48,80","0,0019","43,8","3,91"
19,"47,60","0,0021","6,2","6,17"
20,"46,70","0,0022","1,6","3,79"
21,"46,10","0,0023","1,7","4,42"
22,"44,60","0,0029","1,8","4,03"
23,"43,50","0,0033","2,1","4,73"
24,"43,20","0,0036","2,1","4,71"
25,"43,50","0,0038","2,1","5,00"
26,"43,40","0,0041","2,0","3,73"
27,"43,30","0,0047","2,0","4,27"
28,"42,80","0,0049","2,1","3,22"
29,"42,30","0,0050","2,2","3,98"
30,"42,70","0,0048","2,1","3,94"
31,"42,80","0,0047","2,1","4,41"
32,"43,70","0,0044","2,1","5,06"
33,"44,00","0,0043","3,7","4,46"
34,"44,60","0,0041","25,0","4,99"
35,"46,00","0,0042","60,9","5,67"
36,"48,00","0,0043","97,5","5,72"
37,"49,40","0,0042","139,2","6,59"
38,"49,40","0,0038","137,0","6,25"
39,"50,30","0,0034","180,0","5,79"
40,"51,10","0,0034","81,4","5,89"
41,"50,90","0,0035","53,6","5,57"
42,"50,70","0,0038","32,1","5,74"
43,"50,80","0,0040","4,7","4,55"
44,"50,60","0,0043","1,4","4,05"
45,"50,20","0,0047","1,4","5,16"
46,"49,60","0,0051","1,6","4,57"
47,"50,30","0,0056","1,4","3,46"
48,"49,80","0,0058","1,5","5,16"
49,"51,30","0,0069","1,4","6,20"
50,"52,10","0,0078","1,4","8,21"
51,"53,00","0,0053","1,4","7,95"
52,"54,00","0,0054","1,2","8,35"
53,"54,50","0,0058","1,1","9,25"
54,"54,90","0,0058","1,1","11,38"
55,"55,60","0,0060","1,1","9,66"
56,"56,50","0,0070","1,0","8,16"
57,"56,90","0,0062","1,6","7,27"
58,"56,50","0,0064","13,6","7,23"
59,"56,50","0,0057","45,3","8,47"
60,"57,20","0,0064","57,2","7,43"
61,"58,40","0,0058","79,9","3,93"
62,"60,20","0,0066","74,6","6,38"
63,"61,60","0,0067","73,1","6,71"
64,"62,80","0,0072","62,4","5,19"
65,"64,30","0,0073","59,2","3,94"
66,"66,50","0,0075","53,8","4,97"
67,"67,70","0,0090","9,7","8,53"
68,"67,30","0,0091","0,0","9,10"
69,"67,00","0,0084","0,1","7,37"
70,"66,70","0,0074","0,0","5,26"
71,"66,80","0,0066","0,1","4,57"
